drug	drug_name	indication	indication_name
DB00001	Lepirudin	C0040038	Thromboembolism
DB00001	Lepirudin	C0002965	Angina, Unstable
DB00001	Lepirudin	C0040053	thrombosis
DB00002	Cetuximab	C0007102	Malignant Tumor Of Colon
DB00002	Cetuximab	C1168401	head and neck squamous cell carcinoma (HNSCC)
DB00004	Denileukin diftitox	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00005	Etanercept	C0003873	rheumatoid arthritis
DB00005	Etanercept	C3495559	Juvenile Arthritis
DB00005	Etanercept	C0003872	psoriatic arthritis
DB00005	Etanercept	C0038013	ankylosing spondylitis
DB00007	leuprolide	C0034013	precocious puberty
DB00007	leuprolide	C0014175	endometriosis
DB00007	leuprolide	C0376358	Malignant Neoplasm Of Prostate
DB00007	leuprolide	C0042133	Uterine Fibroids
DB00007	leuprolide	C0021359	infertility
DB00007	leuprolide	C0021361	Female Infertility
DB00007	leuprolide	C1458155	Mammary Neoplasms
DB00007	leuprolide	C0014170	Endometrial Neoplasms
DB00007	leuprolide	C0023267	Fibroid Tumor
DB00007	leuprolide	C0919267	Ovarian Neoplasm
DB00007	leuprolide	C2937421	Prostatic Hyperplasia
DB00007	leuprolide	C0033578	Prostatic Neoplasms
DB00008	Peginterferon alfa-2a	C0524910	Hepatitis C, Chronic
DB00008	Peginterferon alfa-2a	C0524909	Hepatitis B, Chronic
DB00008	Peginterferon alfa-2a	C0276535	Aids With Kaposi'S Sarcoma
DB00008	Peginterferon alfa-2a	C0023443	hairy cell leukemia
DB00008	Peginterferon alfa-2a	C0025202	melanoma
DB00008	Peginterferon alfa-2a	C0006118	Brain Neoplasms
DB00008	Peginterferon alfa-2a	C2239176	hepatocellular carcinoma (HCC)
DB00008	Peginterferon alfa-2a	C0007134	renal cell carcinoma (RCC)
DB00008	Peginterferon alfa-2a	C0009404	Colorectal Neoplasms
DB00008	Peginterferon alfa-2a	C0018916	Hemangioma
DB00008	Peginterferon alfa-2a	C1540912	hypereosinophilic syndrome (HES)
DB00008	Peginterferon alfa-2a	C0024437	macular degeneration
DB00008	Peginterferon alfa-2a	C0026764	multiple myeloma
DB00008	Peginterferon alfa-2a	C0026948	Mycosis Fungoides
DB00008	Peginterferon alfa-2a	C0036220	Kaposi sarcoma
DB00008	Peginterferon alfa-2a	C0036920	Sezary Syndrome
DB00008	Peginterferon alfa-2a	C0037286	Skin Neoplasms
DB00008	Peginterferon alfa-2a	C0037299	skin ulcer
DB00008	Peginterferon alfa-2a	C0040028	Thrombocythemia, Essential
DB00009	Alteplase	C0948008	Ischemic Stroke
DB00009	Alteplase	C0034065	pulmonary embolism (PE)
DB00009	Alteplase	C0027051	Myocardial Infarction
DB00009	Alteplase	C0040053	thrombosis
DB00010	Sermorelin	C0013338	Pituitary Dwarfism
DB00010	Sermorelin	C0343755	Hiv Wasting Syndrome
DB00010	Sermorelin	C0021359	infertility
DB00013	Urokinase	C0034065	pulmonary embolism (PE)
DB00013	Urokinase	C0010072	Coronary Thrombosis
DB00013	Urokinase	C0027051	Myocardial Infarction
DB00013	Urokinase	C0042487	Venous Thrombosis
DB00013	Urokinase	C0040053	thrombosis
DB00014	goserelin-acetate	C0014175	endometriosis
DB00014	goserelin-acetate	C0006142	Malignant Neoplasm Of Breast
DB00015	Reteplase	C0018802	congestive heart failure
DB00015	Reteplase	C0027051	Myocardial Infarction
DB00015	Reteplase	C0034065	pulmonary embolism (PE)
DB00015	Reteplase	C0040053	thrombosis
DB00015	Reteplase	C0242973	Ventricular Dysfunction
DB00016	Erythropoietin	C0002871	anemia
DB00017	Salmon Calcitonin	C0029458	Osteoporosis, Postmenopausal
DB00017	Salmon Calcitonin	C0029401	Osteitis Deformans
DB00017	Salmon Calcitonin	C0020437	hypercalcemia
DB00017	Salmon Calcitonin	C0029456	osteoporosis
