source	target	polarity
pubchem.compound:4943	ncbigene:2562	1
pubchem.compound:667468	ncbigene:147	-1
pubchem.compound:4011	ncbigene:1133	-1
pubchem.compound:4636	ncbigene:148	1
pubchem.compound:2083	ncbigene:154	1
pubchem.compound:5656	ncbigene:6531	-1
pubchem.compound:146570	ncbigene:152	-1
pubchem.compound:446157	ncbigene:3156	-1
pubchem.compound:708857	ncbigene:1128	-1
pubchem.compound:3878	ncbigene:4986	-1
pubchem.compound:54746	ncbigene:1812	1
pubchem.compound:5833	ncbigene:2908	-1
pubchem.compound:60854	ncbigene:1129	-1
pubchem.compound:2585	ncbigene:152	-1
pubchem.compound:4737	ncbigene:116443	-1
pubchem.compound:2170	ncbigene:3358	-1
pubchem.compound:5328940	ncbigene:25	-1
pubchem.compound:6215	ncbigene:302	1
pubchem.compound:2554	ncbigene:6326	-1
pubchem.compound:5073	ncbigene:1815	-1
pubchem.compound:3676	ncbigene:1956	-1
pubchem.compound:667468	ncbigene:6530	-1
pubchem.compound:3038	ncbigene:760	-1
pubchem.compound:5503	ncbigene:3767	-1
pubchem.compound:3333	ncbigene:779	-1
pubchem.compound:439501	ncbigene:477	-1
pubchem.compound:60795	ncbigene:3354	-1
pubchem.compound:146570	ncbigene:6532	-1
pubchem.compound:3354	ncbigene:1128	-1
pubchem.compound:54746	ncbigene:1813	1
pubchem.compound:5743	ncbigene:301	1
pubchem.compound:4201	ncbigene:5742	1
pubchem.compound:11683	ncbigene:5241	1
pubchem.compound:4167	ncbigene:1129	-1
pubchem.compound:60854	ncbigene:3358	-1
pubchem.compound:5291	ncbigene:5156	-1
pubchem.compound:446541	ncbigene:3615	-1
pubchem.compound:216239	ncbigene:5979	-1
pubchem.compound:3652	ncbigene:54106	-1
pubchem.compound:5360696	ncbigene:1143	-1
pubchem.compound:6047	ncbigene:1814	1
pubchem.compound:2170	ncbigene:148	-1
pubchem.compound:4507	ncbigene:775	-1
pubchem.compound:3386	ncbigene:3358	-1
pubchem.compound:2771	ncbigene:6532	-1
