source	target	polarity
pubchem.compound:10000456	ncbigene:6347	-1
pubchem.compound:10022508	ncbigene:7157	1
pubchem.compound:10071166	ncbigene:3776	1
pubchem.compound:10074640	ncbigene:3815	1
pubchem.compound:10074640	ncbigene:1436	-1
pubchem.compound:10074640	ncbigene:3932	-1
pubchem.compound:10074640	ncbigene:4067	-1
pubchem.compound:10074640	ncbigene:5156	-1
pubchem.compound:10074640	ncbigene:5159	-1
pubchem.compound:10126189	ncbigene:1956	1
pubchem.compound:10126189	ncbigene:836	1
pubchem.compound:10126189	ncbigene:8793	1
pubchem.compound:10126189	ncbigene:8795	1
pubchem.compound:10126189	ncbigene:8797	1
pubchem.compound:10126189	ncbigene:4170	-1
pubchem.compound:10126189	ncbigene:9451	-1
pubchem.compound:10127622	ncbigene:10018	1
pubchem.compound:10127622	ncbigene:6774	1
pubchem.compound:10127622	ncbigene:9451	-1
pubchem.compound:1013376	ncbigene:22933	-1
pubchem.compound:10140	ncbigene:4953	1
pubchem.compound:10154	ncbigene:652	-1
pubchem.compound:10172943	ncbigene:7157	1
pubchem.compound:10184653	ncbigene:1956	-1
pubchem.compound:10184653	ncbigene:2064	-1
pubchem.compound:10184653	ncbigene:2066	-1
pubchem.compound:10184653	ncbigene:255738	-1
pubchem.compound:10184653	ncbigene:57650	-1
pubchem.compound:10184653	ncbigene:9429	-1
pubchem.compound:10219	ncbigene:2353	1
pubchem.compound:10219	ncbigene:6626	1
pubchem.compound:10219	ncbigene:7078	-1
pubchem.compound:10228	ncbigene:4780	1
pubchem.compound:10228	ncbigene:632	1
pubchem.compound:10228	ncbigene:7471	1
pubchem.compound:10228	ncbigene:7473	1
pubchem.compound:10228	ncbigene:89780	1
pubchem.compound:10228	ncbigene:2147	-1
pubchem.compound:10228	ncbigene:3082	-1
pubchem.compound:10228	ncbigene:4318	-1
pubchem.compound:10228	ncbigene:4322	-1
pubchem.compound:10228	ncbigene:6356	-1
pubchem.compound:10228	ncbigene:836	-1
pubchem.compound:102614	ncbigene:2100	1
pubchem.compound:102614	ncbigene:1325	-1
pubchem.compound:102614	ncbigene:551	-1
pubchem.compound:10275789	ncbigene:3576	-1
pubchem.compound:10275789	ncbigene:3586	-1
pubchem.compound:1029232	ncbigene:1956	-1
pubchem.compound:1029232	ncbigene:5028	-1
pubchem.compound:10302451	ncbigene:27	-1
pubchem.compound:10302451	ncbigene:3932	-1
pubchem.compound:10322450	ncbigene:9429	-1
pubchem.compound:10341154	ncbigene:51701	-1
pubchem.compound:10341154	ncbigene:5600	-1
pubchem.compound:10341154	ncbigene:6300	-1
pubchem.compound:10367662	ncbigene:9451	-1
pubchem.compound:10427712	ncbigene:5294	-1
pubchem.compound:10429242	ncbigene:2475	-1
pubchem.compound:10461815	ncbigene:3082	-1
pubchem.compound:104845	ncbigene:6505	1
pubchem.compound:1048845	ncbigene:9429	-1
pubchem.compound:104926	ncbigene:8856	1
pubchem.compound:105007	ncbigene:5286	-1
pubchem.compound:10521421	ncbigene:7157	1
pubchem.compound:10521421	ncbigene:4254	-1
pubchem.compound:10607	ncbigene:3553	1
pubchem.compound:10607	ncbigene:203068	-1
pubchem.compound:10607	ncbigene:54658	-1
pubchem.compound:10607	ncbigene:7153	-1
pubchem.compound:10607	ncbigene:7277	-1
pubchem.compound:10631	ncbigene:5241	1
pubchem.compound:10635	ncbigene:10257	1
pubchem.compound:10635	ncbigene:10645	1
pubchem.compound:10635	ncbigene:2621	1
pubchem.compound:10635	ncbigene:354	1
pubchem.compound:10635	ncbigene:367	1
pubchem.compound:10635	ncbigene:3757	1
pubchem.compound:10635	ncbigene:57468	1
pubchem.compound:10635	ncbigene:6720	1
pubchem.compound:10635	ncbigene:7276	1
pubchem.compound:10635	ncbigene:775	1
pubchem.compound:10635	ncbigene:3292	-1
pubchem.compound:10635	ncbigene:3487	-1
pubchem.compound:10635	ncbigene:367	-1
pubchem.compound:10635	ncbigene:5241	-1
pubchem.compound:10635	ncbigene:6462	-1
pubchem.compound:10635	ncbigene:7224	-1
pubchem.compound:10635	ncbigene:9611	-1
pubchem.compound:10770	ncbigene:6336	-1
pubchem.compound:107780	ncbigene:3350	1
pubchem.compound:107780	ncbigene:3354	1
pubchem.compound:107780	ncbigene:3355	1
pubchem.compound:107780	ncbigene:3357	1
pubchem.compound:107780	ncbigene:3358	1
pubchem.compound:107780	ncbigene:3362	1
pubchem.compound:107780	ncbigene:3351	-1
pubchem.compound:107780	ncbigene:3355	-1
pubchem.compound:107807	ncbigene:3827	1
pubchem.compound:107807	ncbigene:7351	1
pubchem.compound:107807	ncbigene:1636	-1
pubchem.compound:107807	ncbigene:183	-1
pubchem.compound:107807	ncbigene:3827	-1
pubchem.compound:107807	ncbigene:3952	-1
pubchem.compound:107807	ncbigene:5054	-1
pubchem.compound:107807	ncbigene:9407	-1
pubchem.compound:107905	ncbigene:2492	1
pubchem.compound:107905	ncbigene:6513	1
pubchem.compound:107905	ncbigene:6523	-1
pubchem.compound:107905	ncbigene:6524	-1
pubchem.compound:107935	ncbigene:999	1
pubchem.compound:107935	ncbigene:4792	-1
pubchem.compound:107935	ncbigene:9451	-1
pubchem.compound:107967	ncbigene:6869	-1
pubchem.compound:107985	ncbigene:23030	1
pubchem.compound:107985	ncbigene:2908	1
pubchem.compound:107985	ncbigene:3416	1
pubchem.compound:107985	ncbigene:4092	1
pubchem.compound:107985	ncbigene:6855	1
pubchem.compound:107985	ncbigene:7157	1
pubchem.compound:107985	ncbigene:836	1
pubchem.compound:107985	ncbigene:8795	1
pubchem.compound:107985	ncbigene:999	1
pubchem.compound:107985	ncbigene:1025	-1
pubchem.compound:107985	ncbigene:1234	-1
pubchem.compound:107985	ncbigene:2735	-1
pubchem.compound:107985	ncbigene:29843	-1
pubchem.compound:107985	ncbigene:3308	-1
pubchem.compound:107985	ncbigene:3553	-1
pubchem.compound:107985	ncbigene:3558	-1
pubchem.compound:107985	ncbigene:3576	-1
pubchem.compound:107985	ncbigene:3596	-1
pubchem.compound:107985	ncbigene:3605	-1
pubchem.compound:107985	ncbigene:3717	-1
pubchem.compound:107985	ncbigene:3725	-1
pubchem.compound:107985	ncbigene:4170	-1
pubchem.compound:107985	ncbigene:4316	-1
pubchem.compound:107985	ncbigene:4318	-1
pubchem.compound:107985	ncbigene:4843	-1
pubchem.compound:107985	ncbigene:5743	-1
pubchem.compound:107985	ncbigene:5879	-1
pubchem.compound:107985	ncbigene:5881	-1
pubchem.compound:107985	ncbigene:5970	-1
pubchem.compound:107985	ncbigene:6489	-1
pubchem.compound:107985	ncbigene:6667	-1
pubchem.compound:107985	ncbigene:6898	-1
pubchem.compound:107985	ncbigene:7099	-1
pubchem.compound:107985	ncbigene:7124	-1
pubchem.compound:107985	ncbigene:7133	-1
pubchem.compound:107985	ncbigene:729230	-1
pubchem.compound:107985	ncbigene:9407	-1
pubchem.compound:107985	ncbigene:941	-1
pubchem.compound:107992	ncbigene:9407	1
pubchem.compound:107992	ncbigene:3357	1
pubchem.compound:107992	ncbigene:3358	1
pubchem.compound:108001	ncbigene:2915	1
pubchem.compound:108046	ncbigene:3350	1
pubchem.compound:108092	ncbigene:3269	-1
pubchem.compound:108107	ncbigene:1636	-1
pubchem.compound:108107	ncbigene:5972	-1
pubchem.compound:108143	ncbigene:5914	1
pubchem.compound:108143	ncbigene:5915	1
pubchem.compound:108143	ncbigene:9095	1
pubchem.compound:108143	ncbigene:3553	-1
pubchem.compound:108143	ncbigene:3605	-1
pubchem.compound:108143	ncbigene:688	-1
pubchem.compound:110635	ncbigene:50940	-1
pubchem.compound:110635	ncbigene:8654	-1
pubchem.compound:11201035	ncbigene:2100	-1
pubchem.compound:11228183	ncbigene:10018	1
pubchem.compound:11228183	ncbigene:3725	1
pubchem.compound:11228183	ncbigene:4170	1
pubchem.compound:11228183	ncbigene:5366	1
pubchem.compound:11228183	ncbigene:54205	1
pubchem.compound:11228183	ncbigene:836	1
pubchem.compound:11228183	ncbigene:84557	1
pubchem.compound:11228183	ncbigene:4170	-1
pubchem.compound:11228183	ncbigene:54205	-1
pubchem.compound:11228183	ncbigene:598	-1
pubchem.compound:11238147	ncbigene:9518	1
pubchem.compound:11238147	ncbigene:1387	-1
pubchem.compound:11238147	ncbigene:2033	-1
pubchem.compound:11238147	ncbigene:3172	-1
pubchem.compound:11238147	ncbigene:7490	-1
pubchem.compound:11282283	ncbigene:3815	-1
pubchem.compound:11282283	ncbigene:4233	-1
pubchem.compound:11296282	ncbigene:5733	-1
pubchem.compound:11327430	ncbigene:472	-1
pubchem.compound:11338033	ncbigene:1017	-1
pubchem.compound:11338033	ncbigene:4170	-1
pubchem.compound:11364421	ncbigene:5347	-1
pubchem.compound:11442891	ncbigene:7157	1
pubchem.compound:11442891	ncbigene:6790	-1
pubchem.compound:11455910	ncbigene:4170	-1
pubchem.compound:11455910	ncbigene:598	-1
pubchem.compound:11485656	ncbigene:1435	-1
pubchem.compound:11494412	ncbigene:10383	-1
pubchem.compound:11494412	ncbigene:4137	-1
pubchem.compound:11494412	ncbigene:4233	-1
pubchem.compound:11524144	ncbigene:3162	1
pubchem.compound:11524144	ncbigene:1021	-1
pubchem.compound:11524144	ncbigene:10645	-1
pubchem.compound:11524144	ncbigene:11183	-1
pubchem.compound:11524144	ncbigene:1195	-1
pubchem.compound:11524144	ncbigene:1436	-1
