source	target	relation
pubchem.compound:4943	ncbigene:9180	-1
pubchem.compound:4943	ncbigene:64682	1
pubchem.compound:4943	ncbigene:2788	1
pubchem.compound:4943	ncbigene:59284	1
pubchem.compound:4943	ncbigene:3672	1
pubchem.compound:4943	ncbigene:783	-1
pubchem.compound:4943	ncbigene:3065	1
ncbigene:9180	ncbigene:100132074	1
ncbigene:9180	ncbigene:4137	1
ncbigene:64682	ncbigene:2782	1
ncbigene:64682	ncbigene:8994	1
ncbigene:64682	ncbigene:5293	1
ncbigene:64682	ncbigene:116379	1
ncbigene:64682	ncbigene:5297	-1
ncbigene:64682	ncbigene:5781	1
ncbigene:64682	ncbigene:56261	1
ncbigene:64682	ncbigene:3778	1
ncbigene:64682	ncbigene:2065	1
ncbigene:64682	ncbigene:7849	-1
ncbigene:2788	ncbigene:7480	1
ncbigene:2788	ncbigene:3667	1
ncbigene:2788	ncbigene:57547	-1
ncbigene:2788	ncbigene:5696	1
ncbigene:2788	ncbigene:5908	1
ncbigene:2788	ncbigene:3549	1
ncbigene:2788	ncbigene:5923	1
ncbigene:2788	ncbigene:401427	1
ncbigene:2788	ncbigene:6628	1
ncbigene:2788	ncbigene:11193	1
ncbigene:2788	ncbigene:2782	-1
ncbigene:2788	ncbigene:1232	1
ncbigene:2788	ncbigene:64145	1
ncbigene:2788	ncbigene:1455	-1
ncbigene:2788	ncbigene:149233	1
ncbigene:2788	ncbigene:390260	1
ncbigene:2788	ncbigene:6319	1
ncbigene:2788	ncbigene:6430	1
ncbigene:2788	ncbigene:10744	1
ncbigene:2788	ncbigene:403244	1
ncbigene:2788	ncbigene:1540	1
ncbigene:2788	ncbigene:6326	1
ncbigene:2788	ncbigene:5163	-1
ncbigene:2788	ncbigene:2056	-1
ncbigene:2788	ncbigene:26496	1
ncbigene:2788	ncbigene:5137	1
ncbigene:2788	ncbigene:4878	1
ncbigene:2788	ncbigene:10672	-1
ncbigene:2788	ncbigene:5429	-1
ncbigene:2788	ncbigene:112	-1
ncbigene:2788	ncbigene:1536	1
ncbigene:2788	ncbigene:182	1
ncbigene:2788	ncbigene:2072	1
ncbigene:2788	ncbigene:3815	1
ncbigene:2788	ncbigene:3665	-1
ncbigene:2788	ncbigene:3679	1
ncbigene:2788	ncbigene:1394	1
ncbigene:2788	ncbigene:9092	1
ncbigene:2788	ncbigene:9846	1
ncbigene:2788	ncbigene:6461	-1
ncbigene:2788	ncbigene:115653	1
ncbigene:2788	ncbigene:578	-1
ncbigene:2788	ncbigene:81470	1
ncbigene:2788	ncbigene:1958	-1
ncbigene:2788	ncbigene:1794	1
ncbigene:2788	ncbigene:9618	1
ncbigene:2788	ncbigene:1378	-1
ncbigene:2788	ncbigene:3563	1
ncbigene:2788	ncbigene:147741	1
ncbigene:2788	ncbigene:5346	1
ncbigene:2788	ncbigene:54103	-1
ncbigene:2788	ncbigene:5332	1
ncbigene:2788	ncbigene:27091	1
ncbigene:2788	ncbigene:390261	1
ncbigene:2788	ncbigene:4041	1
ncbigene:2788	ncbigene:29979	1
ncbigene:2788	ncbigene:389114	-1
ncbigene:2788	ncbigene:3358	-1
ncbigene:2788	ncbigene:3459	1
ncbigene:2788	ncbigene:1439	1
ncbigene:2788	ncbigene:26524	1
ncbigene:2788	ncbigene:1909	-1
ncbigene:2788	ncbigene:3066	1
ncbigene:2788	ncbigene:3718	1
ncbigene:2788	ncbigene:59284	1
ncbigene:2788	ncbigene:1284	1
ncbigene:2788	ncbigene:91445	-1
ncbigene:59284	ncbigene:51764	-1
ncbigene:3672	ncbigene:8605	1
ncbigene:3672	ncbigene:7428	1
ncbigene:3672	ncbigene:7324	1
ncbigene:3672	ncbigene:4853	1
ncbigene:3672	ncbigene:100132074	1
ncbigene:3672	ncbigene:2324	1
ncbigene:783	ncbigene:51764	1
ncbigene:783	ncbigene:2923	1
ncbigene:783	ncbigene:2048	1
ncbigene:3065	ncbigene:5507	-1
ncbigene:3065	ncbigene:5347	1
ncbigene:3065	ncbigene:5332	1
ncbigene:3065	ncbigene:4537	1
ncbigene:3065	ncbigene:1051	1
ncbigene:3065	ncbigene:2475	1
ncbigene:3065	ncbigene:786	1
ncbigene:3065	ncbigene:4991	1
ncbigene:3065	ncbigene:11211	1
ncbigene:3065	ncbigene:1438	1
ncbigene:3065	ncbigene:23405	-1
ncbigene:3065	ncbigene:3778	1
