source	target	relation
pubchem.compound:4943	ncbigene:1742	-1
pubchem.compound:4943	ncbigene:7422	1
pubchem.compound:4943	ncbigene:673	1
pubchem.compound:4943	ncbigene:3111	-1
pubchem.compound:4943	ncbigene:8531	1
pubchem.compound:4943	ncbigene:2774	1
pubchem.compound:4943	ncbigene:25759	1
ncbigene:1742	ncbigene:3117	-1
ncbigene:1742	ncbigene:56000	1
ncbigene:1742	ncbigene:64805	1
ncbigene:7422	ncbigene:5163	1
ncbigene:7422	ncbigene:390036	1
ncbigene:7422	ncbigene:60489	1
ncbigene:7422	ncbigene:1233	1
ncbigene:7422	ncbigene:93589	1
ncbigene:7422	ncbigene:155	1
ncbigene:7422	ncbigene:116442	1
ncbigene:7422	ncbigene:51095	1
ncbigene:7422	ncbigene:23195	1
ncbigene:7422	ncbigene:6150	1
ncbigene:7422	ncbigene:255725	1
ncbigene:7422	ncbigene:2885	1
ncbigene:7422	ncbigene:3763	1
ncbigene:7422	ncbigene:3655	1
ncbigene:7422	ncbigene:5468	1
ncbigene:7422	ncbigene:2788	1
ncbigene:7422	ncbigene:9133	1
ncbigene:7422	ncbigene:4729	1
ncbigene:7422	ncbigene:144125	1
ncbigene:7422	ncbigene:9616	1
ncbigene:7422	ncbigene:11317	1
ncbigene:7422	ncbigene:26686	-1
ncbigene:7422	ncbigene:5584	-1
ncbigene:7422	ncbigene:119687	1
ncbigene:7422	ncbigene:786	-1
ncbigene:7422	ncbigene:2571	-1
ncbigene:7422	ncbigene:729230	1
ncbigene:7422	ncbigene:1514	-1
ncbigene:7422	ncbigene:7474	1
ncbigene:7422	ncbigene:54464	1
ncbigene:7422	ncbigene:4221	1
ncbigene:7422	ncbigene:60485	1
ncbigene:7422	ncbigene:5216	1
ncbigene:7422	ncbigene:56901	1
ncbigene:7422	ncbigene:784	-1
ncbigene:7422	ncbigene:483	1
ncbigene:7422	ncbigene:113	1
ncbigene:7422	ncbigene:5336	1
ncbigene:7422	ncbigene:27243	1
ncbigene:7422	ncbigene:5899	1
ncbigene:7422	ncbigene:673	1
ncbigene:7422	ncbigene:1045	1
ncbigene:7422	ncbigene:5332	-1
ncbigene:7422	ncbigene:2782	1
ncbigene:673	ncbigene:5602	1
ncbigene:673	ncbigene:5527	1
ncbigene:673	ncbigene:5291	1
ncbigene:673	ncbigene:23410	1
ncbigene:673	ncbigene:6093	1
ncbigene:673	ncbigene:2785	1
ncbigene:673	ncbigene:29110	1
ncbigene:673	ncbigene:7855	1
ncbigene:673	ncbigene:659	1
ncbigene:673	ncbigene:22800	1
ncbigene:673	ncbigene:2774	1
ncbigene:673	ncbigene:9254	-1
ncbigene:673	ncbigene:56924	1
ncbigene:673	ncbigene:59285	1
ncbigene:673	ncbigene:2903	1
ncbigene:673	ncbigene:5645	-1
ncbigene:673	ncbigene:79671	-1
ncbigene:673	ncbigene:3570	1
ncbigene:673	ncbigene:5294	1
ncbigene:3111	ncbigene:2788	1
ncbigene:3111	ncbigene:3363	1
ncbigene:8531	ncbigene:1003	1
ncbigene:8531	ncbigene:5167	1
ncbigene:8531	ncbigene:2261	1
ncbigene:8531	ncbigene:7157	-1
ncbigene:8531	ncbigene:112	1
ncbigene:2774	ncbigene:476	1
ncbigene:2774	ncbigene:4089	1
ncbigene:2774	ncbigene:8807	1
ncbigene:2774	ncbigene:994	1
ncbigene:2774	ncbigene:488	1
ncbigene:2774	ncbigene:776	-1
ncbigene:2774	ncbigene:109	1
ncbigene:2774	ncbigene:5293	-1
ncbigene:25759	ncbigene:9846	1
ncbigene:25759	ncbigene:2867	1
ncbigene:25759	ncbigene:2081	1
ncbigene:25759	ncbigene:149233	1
ncbigene:25759	ncbigene:653	1
ncbigene:2562	ncbigene:5608	1
ncbigene:5608	ncbigene:8309	1
ncbigene:5608	ncbigene:1237	1
ncbigene:5608	ncbigene:8503	1
ncbigene:5608	ncbigene:9282	1
ncbigene:5608	ncbigene:2305	1
ncbigene:5608	ncbigene:4893	1
ncbigene:5608	ncbigene:8390	-1
ncbigene:5608	ncbigene:5908	1
ncbigene:5608	ncbigene:3977	1
ncbigene:5608	ncbigene:59345	1
ncbigene:5608	ncbigene:55578	1
ncbigene:5608	ncbigene:9180	1
ncbigene:5608	ncbigene:6300	1
ncbigene:5608	ncbigene:1759	1
ncbigene:5608	ncbigene:7321	1
ncbigene:5608	ncbigene:2788	1
ncbigene:5608	ncbigene:6168	1
ncbigene:5608	ncbigene:960	1
ncbigene:5608	ncbigene:81127	1
ncbigene:5608	ncbigene:8202	1
ncbigene:5608	ncbigene:9582	1
ncbigene:5608	ncbigene:377841	-1
ncbigene:5608	ncbigene:7536	1
ncbigene:2563	ncbigene:27350	1
ncbigene:6326	ncbigene:2550	1
ncbigene:2550	ncbigene:3718	1
ncbigene:2550	ncbigene:2773	1
ncbigene:2550	ncbigene:653361	1
ncbigene:2550	ncbigene:390054	-1
ncbigene:2550	ncbigene:3594	1
ncbigene:2550	ncbigene:388561	1
ncbigene:2550	ncbigene:54361	1
ncbigene:2550	ncbigene:6940	1
ncbigene:2550	ncbigene:2774	1
ncbigene:2550	ncbigene:26648	1
ncbigene:2550	ncbigene:22808	1
ncbigene:2550	ncbigene:4233	1
ncbigene:2550	ncbigene:3973	1
ncbigene:2550	ncbigene:5562	1
ncbigene:2550	ncbigene:3696	1
ncbigene:2550	ncbigene:2904	1
ncbigene:2550	ncbigene:3441	1
ncbigene:2550	ncbigene:51764	-1
ncbigene:2550	ncbigene:200316	1
ncbigene:10399	ncbigene:3434	1
ncbigene:3434	ncbigene:390445	1
ncbigene:147	ncbigene:1230	1
ncbigene:147	ncbigene:3765	1
ncbigene:147	ncbigene:482	1
ncbigene:147	ncbigene:5605	1
ncbigene:147	ncbigene:3265	-1
ncbigene:147	ncbigene:2782	1
ncbigene:1230	ncbigene:4772	1
ncbigene:1230	ncbigene:64084	1
ncbigene:1230	ncbigene:51776	1
ncbigene:1230	ncbigene:10239	-1
ncbigene:1230	ncbigene:5896	1
ncbigene:3765	ncbigene:5331	1
ncbigene:3765	ncbigene:2788	1
ncbigene:3765	ncbigene:1956	1
ncbigene:3765	ncbigene:1386	1
ncbigene:3765	ncbigene:9266	1
ncbigene:3765	ncbigene:3815	1
ncbigene:3765	ncbigene:5747	1
ncbigene:3765	ncbigene:22800	1
ncbigene:3765	ncbigene:2783	1
ncbigene:3765	ncbigene:999	1
ncbigene:482	ncbigene:2782	1
ncbigene:482	ncbigene:91807	1
ncbigene:482	ncbigene:928	1
ncbigene:5605	ncbigene:3561	1
ncbigene:5605	ncbigene:390199	1
ncbigene:5605	ncbigene:6349	1
ncbigene:5605	ncbigene:2782	1
ncbigene:5605	ncbigene:56670	-1
ncbigene:5605	ncbigene:5599	1
ncbigene:5605	ncbigene:781	1
ncbigene:5605	ncbigene:6774	1
ncbigene:5605	ncbigene:4913	-1
ncbigene:5605	ncbigene:23193	1
ncbigene:5605	ncbigene:27068	1
ncbigene:5605	ncbigene:4850	1
ncbigene:5605	ncbigene:10000	1
ncbigene:5605	ncbigene:55799	1
ncbigene:5605	ncbigene:5908	1
ncbigene:5605	ncbigene:4208	1
ncbigene:3265	ncbigene:5747	1
ncbigene:3265	ncbigene:1630	1
ncbigene:3265	ncbigene:4345	1
ncbigene:3265	ncbigene:3316	1
ncbigene:3265	ncbigene:64764	-1
ncbigene:3265	ncbigene:5362	1
ncbigene:3265	ncbigene:7054	1
ncbigene:3265	ncbigene:162993	-1
ncbigene:3265	ncbigene:5468	1
ncbigene:3265	ncbigene:5534	1
ncbigene:3265	ncbigene:9229	-1
ncbigene:3265	ncbigene:1230	1
ncbigene:3265	ncbigene:6909	1
ncbigene:3265	ncbigene:7477	-1
ncbigene:3265	ncbigene:26119	1
ncbigene:3265	ncbigene:1536	1
ncbigene:3265	ncbigene:55811	1
ncbigene:3265	ncbigene:53632	1
ncbigene:3265	ncbigene:3125	1
ncbigene:3265	ncbigene:7321	1
ncbigene:3265	ncbigene:148327	1
ncbigene:3265	ncbigene:51071	1
ncbigene:3265	ncbigene:597	1
ncbigene:3265	ncbigene:121274	1
ncbigene:3265	ncbigene:4233	1
ncbigene:3265	ncbigene:84699	1
ncbigene:3265	ncbigene:60	1
ncbigene:3265	ncbigene:504190	-1
ncbigene:3265	ncbigene:4802	1
ncbigene:3265	ncbigene:7852	1
ncbigene:3265	ncbigene:54331	1
ncbigene:3265	ncbigene:10672	1
ncbigene:3265	ncbigene:4685	1
ncbigene:3265	ncbigene:4703	1
ncbigene:3265	ncbigene:213	1
ncbigene:3265	ncbigene:114	-1
ncbigene:3265	ncbigene:2846	1
ncbigene:3265	ncbigene:5579	1
ncbigene:3265	ncbigene:282770	-1
ncbigene:3265	ncbigene:4316	1
ncbigene:3265	ncbigene:152831	1
ncbigene:3265	ncbigene:1728	1
ncbigene:3265	ncbigene:2890	-1
ncbigene:3265	ncbigene:3762	1
ncbigene:3265	ncbigene:55294	1
ncbigene:2782	ncbigene:4846	1
ncbigene:2782	ncbigene:6237	1
ncbigene:2782	ncbigene:151	1
ncbigene:2782	ncbigene:2176	1
ncbigene:2782	ncbigene:2903	1
ncbigene:2782	ncbigene:1398	1
ncbigene:2782	ncbigene:388585	1
ncbigene:2782	ncbigene:5618	1
ncbigene:2782	ncbigene:1129	1
ncbigene:2782	ncbigene:10229	1
ncbigene:2782	ncbigene:596	1
ncbigene:2782	ncbigene:5923	1
ncbigene:2782	ncbigene:5062	1
ncbigene:2782	ncbigene:6443	1
ncbigene:2782	ncbigene:3688	1
ncbigene:2782	ncbigene:776	1
ncbigene:2782	ncbigene:6261	1
ncbigene:2782	ncbigene:2788	1
ncbigene:2782	ncbigene:3627	1
ncbigene:2782	ncbigene:4286	1
ncbigene:2782	ncbigene:2523	1
ncbigene:2782	ncbigene:8590	1
ncbigene:2782	ncbigene:7321	1
ncbigene:2782	ncbigene:55233	1
ncbigene:2782	ncbigene:196883	-1
ncbigene:2782	ncbigene:111	-1
ncbigene:2782	ncbigene:7298	1
ncbigene:2782	ncbigene:892	1
ncbigene:2782	ncbigene:390162	1
ncbigene:2782	ncbigene:3595	1
ncbigene:2782	ncbigene:153129	1
ncbigene:2782	ncbigene:6385	1
ncbigene:2782	ncbigene:8678	1
ncbigene:2782	ncbigene:1147	1
ncbigene:2782	ncbigene:93058	1
ncbigene:2782	ncbigene:4193	1
ncbigene:2782	ncbigene:79065	1
ncbigene:2782	ncbigene:55769	1
ncbigene:2782	ncbigene:6754	1
ncbigene:2782	ncbigene:10798	1
ncbigene:2782	ncbigene:5733	1
ncbigene:2782	ncbigene:2776	1
ncbigene:2782	ncbigene:127064	1
ncbigene:2782	ncbigene:912	-1
ncbigene:2782	ncbigene:133522	1
ncbigene:2782	ncbigene:389541	1
ncbigene:2782	ncbigene:120586	1
ncbigene:2782	ncbigene:7249	1
ncbigene:2782	ncbigene:283748	1
ncbigene:2782	ncbigene:2	1
ncbigene:2782	ncbigene:23640	1
ncbigene:2782	ncbigene:1019	1
ncbigene:2782	ncbigene:10891	1
ncbigene:2782	ncbigene:1236	1
ncbigene:2782	ncbigene:655	1
ncbigene:2782	ncbigene:573	1
ncbigene:2782	ncbigene:3575	-1
ncbigene:2782	ncbigene:4018	1
ncbigene:2782	ncbigene:26212	1
ncbigene:2782	ncbigene:6470	1
ncbigene:2782	ncbigene:1788	-1
ncbigene:2782	ncbigene:23428	1
ncbigene:2782	ncbigene:23471	1
ncbigene:2782	ncbigene:5599	1
ncbigene:2782	ncbigene:51764	1
ncbigene:2782	ncbigene:116028	1
ncbigene:2782	ncbigene:84876	1
ncbigene:2782	ncbigene:3587	1
ncbigene:7225	ncbigene:2903	1
ncbigene:7225	ncbigene:9706	1
ncbigene:7225	ncbigene:81466	1
ncbigene:7225	ncbigene:8808	1
ncbigene:7225	ncbigene:9088	-1
ncbigene:2903	ncbigene:22808	1
ncbigene:2903	ncbigene:5595	1
ncbigene:2903	ncbigene:3091	1
ncbigene:2903	ncbigene:4299	1
ncbigene:2903	ncbigene:2290	-1
ncbigene:9706	ncbigene:23460	1
ncbigene:9706	ncbigene:8877	1
ncbigene:9706	ncbigene:27330	1
ncbigene:9706	ncbigene:2793	-1
ncbigene:9706	ncbigene:390066	-1
ncbigene:9706	ncbigene:782	-1
ncbigene:9706	ncbigene:53358	1
ncbigene:9706	ncbigene:5564	1
ncbigene:9706	ncbigene:7421	1
ncbigene:9706	ncbigene:3680	1
ncbigene:81466	ncbigene:8661	1
ncbigene:81466	ncbigene:4297	1
ncbigene:81466	ncbigene:3598	1
ncbigene:81466	ncbigene:9630	1
ncbigene:9088	ncbigene:2774	1
ncbigene:9088	ncbigene:5894	-1
ncbigene:2767	ncbigene:596	1
ncbigene:2767	ncbigene:390437	-1
ncbigene:2767	ncbigene:2774	1
ncbigene:2767	ncbigene:369	1
ncbigene:2767	ncbigene:22803	1
ncbigene:2767	ncbigene:4301	1
ncbigene:2767	ncbigene:8531	-1
ncbigene:2767	ncbigene:55799	1
ncbigene:2767	ncbigene:5684	1
ncbigene:2767	ncbigene:3099	1
ncbigene:2767	ncbigene:5921	1
ncbigene:2767	ncbigene:8912	1
ncbigene:2767	ncbigene:441925	-1
ncbigene:2767	ncbigene:92579	1
ncbigene:2767	ncbigene:54407	-1
ncbigene:2767	ncbigene:111	1
ncbigene:2767	ncbigene:1769	-1
ncbigene:2767	ncbigene:4303	1
ncbigene:2767	ncbigene:1378	1
ncbigene:2767	ncbigene:10437	1
ncbigene:2767	ncbigene:655	1
ncbigene:2767	ncbigene:2690	1
ncbigene:2767	ncbigene:208	1
ncbigene:2767	ncbigene:5336	1
ncbigene:2767	ncbigene:152	1
ncbigene:596	ncbigene:3845	1
ncbigene:596	ncbigene:4331	1
ncbigene:596	ncbigene:6886	1
ncbigene:596	ncbigene:3572	-1
ncbigene:596	ncbigene:6716	1
ncbigene:596	ncbigene:6136	-1
ncbigene:596	ncbigene:9963	1
ncbigene:596	ncbigene:6774	1
ncbigene:596	ncbigene:3575	1
ncbigene:596	ncbigene:2774	1
ncbigene:596	ncbigene:1788	1
ncbigene:596	ncbigene:64425	1
ncbigene:390437	ncbigene:5603	1
ncbigene:390437	ncbigene:2353	1
ncbigene:390437	ncbigene:7403	1
ncbigene:390437	ncbigene:729230	-1
ncbigene:369	ncbigene:1129	1
ncbigene:369	ncbigene:3053	-1
ncbigene:369	ncbigene:6382	1
ncbigene:369	ncbigene:112398	1
ncbigene:369	ncbigene:3560	1
ncbigene:369	ncbigene:860	1
ncbigene:369	ncbigene:2774	1
ncbigene:369	ncbigene:4860	1
ncbigene:369	ncbigene:27113	1
ncbigene:369	ncbigene:3115	1
ncbigene:369	ncbigene:5197	-1
ncbigene:369	ncbigene:2209	1
ncbigene:369	ncbigene:120793	1
ncbigene:369	ncbigene:2885	1
ncbigene:369	ncbigene:7472	1
ncbigene:369	ncbigene:3685	1
ncbigene:369	ncbigene:5507	-1
ncbigene:369	ncbigene:486	1
ncbigene:369	ncbigene:2770	1
ncbigene:4301	ncbigene:123720	1
ncbigene:4301	ncbigene:2177	1
ncbigene:4301	ncbigene:51422	1
ncbigene:4301	ncbigene:489	1
ncbigene:4301	ncbigene:84699	1
ncbigene:4301	ncbigene:775	1
ncbigene:4301	ncbigene:3762	1
ncbigene:55799	ncbigene:8936	-1
ncbigene:5684	ncbigene:1232	1
ncbigene:5684	ncbigene:9986	1
ncbigene:5684	ncbigene:2774	1
ncbigene:5921	ncbigene:3615	-1
ncbigene:5921	ncbigene:119679	1
ncbigene:5921	ncbigene:2826	1
ncbigene:5921	ncbigene:127069	1
ncbigene:5921	ncbigene:5562	1
ncbigene:5921	ncbigene:3845	1
ncbigene:5921	ncbigene:1852	1
