source	target	relation
pubchem.compound:4943	ncbigene:4342	1
pubchem.compound:4943	ncbigene:1236	1
pubchem.compound:4943	ncbigene:7533	1
pubchem.compound:4943	ncbigene:59285	1
pubchem.compound:4943	ncbigene:10841	-1
pubchem.compound:4943	ncbigene:3688	1
pubchem.compound:4943	ncbigene:51434	1
ncbigene:2562	ncbigene:388566	1
ncbigene:147	ncbigene:2788	1
ncbigene:147	ncbigene:89780	1
ncbigene:147	ncbigene:9411	1
ncbigene:147	ncbigene:1234	1
ncbigene:147	ncbigene:85477	1
ncbigene:147	ncbigene:6814	1
ncbigene:154	ncbigene:5829	1
ncbigene:154	ncbigene:2261	1
ncbigene:154	ncbigene:998	1
ncbigene:154	ncbigene:390201	1
ncbigene:154	ncbigene:5111	1
ncbigene:154	ncbigene:7358	1
ncbigene:154	ncbigene:3688	1
ncbigene:779	ncbigene:3566	-1
pubchem.compound:4011	ncbigene:60	-1
pubchem.compound:4011	ncbigene:3572	-1
pubchem.compound:4011	ncbigene:9129	-1
pubchem.compound:4011	ncbigene:63875	-1
pubchem.compound:4011	ncbigene:2277	-1
pubchem.compound:4011	ncbigene:8515	-1
pubchem.compound:4011	ncbigene:7852	-1
pubchem.compound:4011	ncbigene:79088	-1
pubchem.compound:4011	ncbigene:6928	-1
pubchem.compound:4011	ncbigene:55300	-1
pubchem.compound:4011	ncbigene:7283	-1
pubchem.compound:4011	ncbigene:208	-1
pubchem.compound:4011	ncbigene:84924	-1
pubchem.compound:4011	ncbigene:3991	1
ncbigene:1133	ncbigene:6300	1
ncbigene:1133	ncbigene:3454	1
ncbigene:1133	mondo:0008170	1
ncbigene:1133	ncbigene:7316	1
ncbigene:1133	ncbigene:23385	1
ncbigene:1133	ncbigene:254783	1
pubchem.compound:4636	ncbigene:472	1
pubchem.compound:4636	ncbigene:6300	1
pubchem.compound:4636	ncbigene:2782	1
pubchem.compound:4636	ncbigene:1237	1
pubchem.compound:4636	ncbigene:1233	1
ncbigene:148	ncbigene:2188	1
ncbigene:148	ncbigene:4729	1
ncbigene:148	ncbigene:28996	1
ncbigene:148	ncbigene:390445	1
ncbigene:148	ncbigene:1447	1
ncbigene:148	ncbigene:1856	1
ncbigene:148	ncbigene:1408	1
ncbigene:148	ncbigene:8626	1
ncbigene:148	ncbigene:7536	1
ncbigene:148	ncbigene:2152	1
ncbigene:148	ncbigene:2247	1
ncbigene:148	ncbigene:2782	1
ncbigene:148	ncbigene:6811	1
pubchem.compound:2083	ncbigene:7157	1
pubchem.compound:2083	ncbigene:776	1
ncbigene:196	ncbigene:10018	1
ncbigene:196	ncbigene:3836	1
ncbigene:196	ncbigene:3566	1
ncbigene:196	ncbigene:1027	1
ncbigene:196	ncbigene:3445	1
ncbigene:196	ncbigene:5565	1
ncbigene:196	ncbigene:4637	1
ncbigene:196	ncbigene:1111	1
ncbigene:196	ncbigene:2197	1
ncbigene:196	ncbigene:2774	1
ncbigene:196	ncbigene:3082	1
ncbigene:196	ncbigene:3932	1
ncbigene:196	ncbigene:3576	1
ncbigene:196	ncbigene:5881	1
ncbigene:196	ncbigene:5597	1
ncbigene:196	ncbigene:2782	1
ncbigene:196	ncbigene:5295	1
ncbigene:196	ncbigene:4204	1
ncbigene:196	ncbigene:240	1
ncbigene:196	ncbigene:3397	1
ncbigene:196	ncbigene:7124	1
ncbigene:196	ncbigene:8729	1
ncbigene:196	ncbigene:390113	1
ncbigene:196	ncbigene:1026	1
ncbigene:196	ncbigene:5603	1
ncbigene:196	ncbigene:5783	1
ncbigene:196	ncbigene:9266	1
ncbigene:196	ncbigene:7482	1
ncbigene:196	ncbigene:2324	1
ncbigene:196	ncbigene:284716	1
ncbigene:196	ncbigene:10962	1
ncbigene:196	ncbigene:4313	1
ncbigene:196	ncbigene:55701	1
ncbigene:196	ncbigene:4609	1
ncbigene:196	ncbigene:317	1
ncbigene:196	ncbigene:993	1
ncbigene:196	ncbigene:1441	1
ncbigene:196	ncbigene:7040	1
ncbigene:196	ncbigene:3557	1
ncbigene:196	ncbigene:8600	1
ncbigene:196	ncbigene:7748	1
ncbigene:196	ncbigene:2074	1
ncbigene:196	ncbigene:9294	1
ncbigene:196	ncbigene:5340	1
ncbigene:196	ncbigene:217	1
ncbigene:196	ncbigene:624	1
ncbigene:196	ncbigene:25	1
ncbigene:196	ncbigene:10681	1
ncbigene:196	ncbigene:29979	1
ncbigene:196	ncbigene:7479	1
ncbigene:196	ncbigene:7976	1
ncbigene:1812	ncbigene:8660	1
ncbigene:1812	ncbigene:2205	1
ncbigene:1812	ncbigene:714	1
ncbigene:153	ncbigene:5260	1
ncbigene:153	ncbigene:4914	1
ncbigene:153	ncbigene:3455	1
ncbigene:153	ncbigene:8323	1
ncbigene:153	ncbigene:9086	1
ncbigene:3351	ncbigene:2788	1
ncbigene:3351	ncbigene:2775	1
ncbigene:3351	ncbigene:1027	1
ncbigene:3351	ncbigene:26538	1
ncbigene:3351	ncbigene:7125	1
ncbigene:3351	ncbigene:5602	1
ncbigene:3351	ncbigene:51764	1
ncbigene:3351	ncbigene:5600	1
ncbigene:3351	ncbigene:2919	1
ncbigene:3351	ncbigene:3067	1
ncbigene:3351	ncbigene:5594	1
ncbigene:3351	ncbigene:9376	1
ncbigene:3351	ncbigene:3588	1
ncbigene:3351	ncbigene:7802	1
ncbigene:3351	ncbigene:2941	1
ncbigene:3351	ncbigene:8516	1
ncbigene:3351	ncbigene:778	1
ncbigene:3351	ncbigene:6143	1
ncbigene:3351	ncbigene:1129	1
ncbigene:3351	ncbigene:287	1
ncbigene:1128	ncbigene:572	1
ncbigene:1128	ncbigene:9586	1
ncbigene:1128	ncbigene:604	1
ncbigene:1128	ncbigene:403253	1
ncbigene:1128	ncbigene:4233	1
ncbigene:1128	ncbigene:4170	1
ncbigene:1128	ncbigene:1271	1
ncbigene:1128	ncbigene:119678	1
ncbigene:1128	ncbigene:3560	1
ncbigene:3359	ncbigene:775	1
ncbigene:6531	ncbigene:5460	1
ncbigene:6531	ncbigene:79748	1
ncbigene:6531	ncbigene:1236	1
ncbigene:6531	ncbigene:55718	1
ncbigene:152	ncbigene:3718	1
ncbigene:152	ncbigene:1387	1
ncbigene:152	ncbigene:3684	1
ncbigene:152	ncbigene:3953	1
ncbigene:152	ncbigene:818	1
ncbigene:1131	ncbigene:5530	1
ncbigene:1131	ncbigene:7010	1
ncbigene:1131	ncbigene:390148	1
ncbigene:1131	ncbigene:775	1
ncbigene:1131	ncbigene:834	1
ncbigene:1131	ncbigene:2998	1
ncbigene:1131	mondo:0007915	1
ncbigene:1131	ncbigene:2356	1
ncbigene:1131	ncbigene:2277	1
ncbigene:3156	ncbigene:57335	1
ncbigene:4915	ncbigene:5501	1
ncbigene:4915	ncbigene:2770	1
ncbigene:4915	ncbigene:3565	1
ncbigene:4915	ncbigene:2768	1
ncbigene:4915	ncbigene:3953	1
ncbigene:4915	ncbigene:3753	1
ncbigene:4915	ncbigene:5747	1
ncbigene:4915	ncbigene:6237	1
ncbigene:4915	ncbigene:3845	1
ncbigene:4915	ncbigene:59067	1
ncbigene:4915	ncbigene:3601	1
ncbigene:4915	ncbigene:7077	-1
ncbigene:4915	ncbigene:64786	1
ncbigene:4915	ncbigene:56983	1
ncbigene:4915	ncbigene:28956	1
ncbigene:4915	ncbigene:9180	1
ncbigene:4915	ncbigene:4775	1
ncbigene:4915	ncbigene:5290	1
ncbigene:4915	ncbigene:821	1
ncbigene:4915	ncbigene:3765	1
ncbigene:4915	ncbigene:5873	1
ncbigene:4915	ncbigene:85417	1
ncbigene:1132	ncbigene:51434	1
ncbigene:1132	ncbigene:6714	1
ncbigene:1132	ncbigene:8660	1
ncbigene:1132	ncbigene:5159	1
ncbigene:1132	ncbigene:28956	1
ncbigene:1132	ncbigene:81318	1
ncbigene:1132	ncbigene:8165	1
ncbigene:1132	ncbigene:356	1
ncbigene:1132	ncbigene:9254	1
ncbigene:1132	ncbigene:2277	1
ncbigene:1132	ncbigene:7376	1
ncbigene:1132	ncbigene:5728	1
ncbigene:1132	ncbigene:3516	1
ncbigene:1132	ncbigene:64131	1
ncbigene:1132	ncbigene:5586	1
ncbigene:1132	ncbigene:2776	1
ncbigene:1132	ncbigene:91807	1
ncbigene:1132	ncbigene:5743	1
ncbigene:1132	ncbigene:1487	1
ncbigene:1132	ncbigene:1633	1
ncbigene:1132	ncbigene:775	-1
pubchem.compound:708857	ncbigene:8912	1
ncbigene:1814	ncbigene:1003	1
ncbigene:1814	ncbigene:441608	1
ncbigene:1814	ncbigene:3909	1
ncbigene:1814	ncbigene:53343	1
ncbigene:1814	ncbigene:51330	1
ncbigene:1814	ncbigene:3984	1
ncbigene:1814	ncbigene:3559	1
ncbigene:1814	ncbigene:9577	1
ncbigene:1814	ncbigene:815	1
ncbigene:1814	ncbigene:2690	1
ncbigene:1814	ncbigene:8321	1
ncbigene:1814	ncbigene:1524	1
ncbigene:1814	ncbigene:5600	1
ncbigene:1814	ncbigene:26492	1
ncbigene:1814	ncbigene:7153	1
ncbigene:1814	ncbigene:9564	1
ncbigene:1814	ncbigene:4322	1
ncbigene:1814	ncbigene:2773	1
ncbigene:1814	ncbigene:57187	1
ncbigene:1814	ncbigene:51434	1
ncbigene:1814	ncbigene:6601	1
ncbigene:53632	ncbigene:10316	1
ncbigene:53632	ncbigene:284076	1
ncbigene:53632	ncbigene:1956	1
ncbigene:53632	ncbigene:64109	1
ncbigene:53632	ncbigene:2774	-1
ncbigene:53632	ncbigene:5156	-1
ncbigene:53632	ncbigene:54205	1
ncbigene:53632	ncbigene:2065	1
ncbigene:53632	ncbigene:8989	1
ncbigene:53632	ncbigene:2057	1
ncbigene:53632	ncbigene:3460	1
ncbigene:53632	ncbigene:8697	1
ncbigene:53632	ncbigene:2263	1
ncbigene:53632	ncbigene:140838	-1
ncbigene:53632	ncbigene:1017	1
ncbigene:53632	ncbigene:9493	-1
ncbigene:53632	ncbigene:26149	-1
ncbigene:53632	ncbigene:219473	-1
ncbigene:53632	ncbigene:3815	1
ncbigene:53632	ncbigene:2172	1
ncbigene:53632	ncbigene:50615	1
ncbigene:53632	ncbigene:7075	-1
ncbigene:53632	ncbigene:3191	1
ncbigene:53632	ncbigene:3265	1
ncbigene:53632	ncbigene:3566	1
ncbigene:53632	ncbigene:2182	1
ncbigene:53632	ncbigene:581	-1
ncbigene:53632	ncbigene:1535	-1
ncbigene:53632	ncbigene:6348	-1
ncbigene:53632	ncbigene:4695	-1
ncbigene:53632	ncbigene:5600	-1
ncbigene:53632	ncbigene:126541	-1
ncbigene:53632	ncbigene:10368	-1
ncbigene:53632	ncbigene:5557	1
ncbigene:53632	ncbigene:3456	-1
ncbigene:53632	ncbigene:4204	1
ncbigene:53632	ncbigene:2549	-1
ncbigene:53632	ncbigene:3676	-1
ncbigene:53632	ncbigene:6721	1
ncbigene:53632	ncbigene:2788	1
ncbigene:53632	ncbigene:115	1
ncbigene:53632	ncbigene:375	-1
ncbigene:53632	ncbigene:1902	-1
ncbigene:53632	ncbigene:5332	-1
ncbigene:53632	ncbigene:282775	-1
ncbigene:53632	ncbigene:960	1
ncbigene:53632	ncbigene:1499	1
ncbigene:3269	ncbigene:2792	1
ncbigene:3269	ncbigene:3643	1
ncbigene:3269	ncbigene:2686	1
ncbigene:3269	ncbigene:3553	1
ncbigene:150	ncbigene:1232	1
ncbigene:150	ncbigene:7471	1
ncbigene:150	ncbigene:3553	1
ncbigene:150	ncbigene:10913	1
ncbigene:150	ncbigene:84667	1
ncbigene:150	ncbigene:5603	1
ncbigene:155	ncbigene:317	1
ncbigene:155	ncbigene:3845	1
ncbigene:155	ncbigene:3680	1
ncbigene:155	ncbigene:5155	1
ncbigene:155	ncbigene:223	1
ncbigene:155	ncbigene:9985	1
ncbigene:151	ncbigene:894	1
ncbigene:151	ncbigene:338751	1
ncbigene:151	ncbigene:55520	1
ncbigene:151	ncbigene:51699	1
ncbigene:151	ncbigene:51808	1
ncbigene:1129	ncbigene:23533	1
ncbigene:1129	ncbigene:4049	1
ncbigene:1129	ncbigene:441531	1
ncbigene:1129	ncbigene:1260	1
ncbigene:1129	ncbigene:3845	1
ncbigene:1129	ncbigene:2784	1
ncbigene:1129	ncbigene:595	1
ncbigene:1129	ncbigene:23129	1
ncbigene:1129	ncbigene:1956	1
ncbigene:1129	ncbigene:51362	1
ncbigene:1129	ncbigene:5427	1
ncbigene:1129	ncbigene:255725	1
ncbigene:1129	ncbigene:5565	1
ncbigene:1129	ncbigene:5567	1
ncbigene:1129	ncbigene:56616	1
ncbigene:1129	ncbigene:27091	1
ncbigene:1129	ncbigene:972	1
ncbigene:1129	ncbigene:4035	1
ncbigene:1129	ncbigene:2774	1
ncbigene:1129	ncbigene:391013	1
ncbigene:1129	ncbigene:10682	1
ncbigene:1129	ncbigene:2788	1
ncbigene:1129	ncbigene:5608	1
ncbigene:1129	ncbigene:943	-1
pubchem.compound:5833	ncbigene:627	-1
pubchem.compound:5833	ncbigene:5908	-1
pubchem.compound:5833	ncbigene:7538	-1
pubchem.compound:5833	ncbigene:7222	-1
pubchem.compound:5833	ncbigene:8660	-1
pubchem.compound:5833	ncbigene:3581	1
pubchem.compound:5833	ncbigene:1129	-1
pubchem.compound:5833	ncbigene:6750	-1
pubchem.compound:5833	ncbigene:79602	-1
pubchem.compound:5833	ncbigene:1051	-1
pubchem.compound:5833	ncbigene:3460	-1
pubchem.compound:5833	ncbigene:55799	-1
pubchem.compound:5833	ncbigene:55970	-1
pubchem.compound:5833	ncbigene:2833	-1
pubchem.compound:5833	ncbigene:123745	-1
pubchem.compound:5833	ncbigene:8900	-1
pubchem.compound:5833	ncbigene:5600	-1
pubchem.compound:5833	ncbigene:3111	-1
pubchem.compound:5833	ncbigene:51738	-1
pubchem.compound:5833	ncbigene:3728	-1
pubchem.compound:5833	ncbigene:2066	-1
pubchem.compound:5833	ncbigene:3781	-1
pubchem.compound:5833	ncbigene:3383	1
ncbigene:2908	ncbigene:3718	1
ncbigene:2908	ncbigene:8851	1
ncbigene:2908	ncbigene:7040	1
ncbigene:2908	ncbigene:5290	1
ncbigene:2908	ncbigene:23439	1
ncbigene:2908	ncbigene:7710	1
ncbigene:2908	ncbigene:79549	1
ncbigene:2908	ncbigene:4092	1
ncbigene:2908	ncbigene:1436	1
ncbigene:2908	ncbigene:960	1
ncbigene:2908	ncbigene:3579	1
ncbigene:2908	ncbigene:283748	1
ncbigene:2908	ncbigene:4988	1
ncbigene:2908	ncbigene:6137	1
ncbigene:2908	ncbigene:5469	1
ncbigene:2908	ncbigene:5970	1
ncbigene:2908	ncbigene:3460	1
ncbigene:2908	ncbigene:5906	1
ncbigene:2908	ncbigene:2788	1
ncbigene:2908	ncbigene:3559	1
ncbigene:2908	ncbigene:56603	1
ncbigene:2908	ncbigene:1111	1
ncbigene:2908	ncbigene:2793	1
ncbigene:2908	ncbigene:3577	1
ncbigene:2908	ncbigene:117	1
ncbigene:2908	ncbigene:1392	1
ncbigene:2908	ncbigene:5330	1
ncbigene:2908	ncbigene:9516	1
ncbigene:2908	ncbigene:3588	1
ncbigene:2908	ncbigene:7791	1
ncbigene:2908	ncbigene:1410	1
ncbigene:2908	ncbigene:5603	1
ncbigene:2908	ncbigene:7124	1
ncbigene:2908	ncbigene:3123	1
ncbigene:2908	ncbigene:596	1
ncbigene:2908	ncbigene:2255	1
ncbigene:2908	ncbigene:4018	1
ncbigene:2908	ncbigene:3127	1
ncbigene:2908	ncbigene:196883	1
ncbigene:2908	ncbigene:581	1
ncbigene:2908	ncbigene:993	1
ncbigene:2908	ncbigene:9668	1
ncbigene:2908	ncbigene:5228	1
ncbigene:2908	ncbigene:1840	1
