source	target	relation
ncbigene:3308	ncbigene:348995	1
ncbigene:4804	ncbigene:341568	1
ncbigene:4804	ncbigene:22984	1
ncbigene:4804	ncbigene:55055	1
ncbigene:4804	ncbigene:57082	1
ncbigene:4804	ncbigene:7508	1
ncbigene:4804	ncbigene:55072	1
ncbigene:4804	ncbigene:9978	-1
ncbigene:4804	ncbigene:26190	-1
ncbigene:4804	ncbigene:11103	-1
ncbigene:4804	ncbigene:10607	-1
ncbigene:4804	ncbigene:7290	1
ncbigene:1020	ncbigene:284532	1
ncbigene:1020	ncbigene:6822	1
ncbigene:1020	ncbigene:11103	1
ncbigene:1020	ncbigene:51725	1
ncbigene:1020	ncbigene:3577	-1
ncbigene:1020	ncbigene:4087	-1
ncbigene:1020	ncbigene:6654	1
ncbigene:54205	ncbigene:3458	1
ncbigene:54205	ncbigene:991	1
ncbigene:836	ncbigene:26190	1
ncbigene:836	ncbigene:23142	1
ncbigene:836	ncbigene:4738	1
ncbigene:836	ncbigene:54536	1
ncbigene:836	ncbigene:201456	1
ncbigene:836	ncbigene:1581	1
ncbigene:836	ncbigene:7311	1
ncbigene:836	ncbigene:11035	1
ncbigene:836	ncbigene:3619	1
ncbigene:836	ncbigene:23179	1
ncbigene:836	ncbigene:6648	1
ncbigene:836	ncbigene:2491	1
ncbigene:836	ncbigene:6774	1
ncbigene:836	ncbigene:138883	1
ncbigene:836	ncbigene:192670	1
ncbigene:836	ncbigene:22994	1
ncbigene:836	ncbigene:3458	1
ncbigene:836	ncbigene:85236	1
ncbigene:836	ncbigene:148022	1
ncbigene:836	ncbigene:3451	1
ncbigene:836	ncbigene:5887	-1
ncbigene:7157	ncbigene:6850	1
ncbigene:7157	ncbigene:1636	1
ncbigene:7157	ncbigene:79980	1
ncbigene:7157	ncbigene:1050	1
ncbigene:7157	ncbigene:9630	1
ncbigene:7157	ncbigene:54821	1
ncbigene:7157	ncbigene:1029	1
ncbigene:7157	ncbigene:836	1
ncbigene:7157	ncbigene:5608	1
ncbigene:7157	ncbigene:23165	1
ncbigene:7157	ncbigene:401541	1
ncbigene:7157	ncbigene:340061	1
ncbigene:7157	ncbigene:50486	1
ncbigene:7157	ncbigene:3123	1
ncbigene:7157	ncbigene:29894	-1
ncbigene:7157	ncbigene:8379	-1
ncbigene:7157	ncbigene:127066	1
ncbigene:7157	ncbigene:11004	1
ncbigene:7157	ncbigene:2773	1
ncbigene:7157	ncbigene:9790	1
ncbigene:7157	ncbigene:2309	1
ncbigene:7157	ncbigene:3443	1
ncbigene:7157	ncbigene:7957	1
ncbigene:7157	ncbigene:79682	1
ncbigene:7157	ncbigene:6464	-1
ncbigene:7157	ncbigene:22806	-1
ncbigene:7157	ncbigene:2788	-1
ncbigene:7157	ncbigene:5436	-1
ncbigene:7157	ncbigene:9407	-1
ncbigene:7157	ncbigene:9887	-1
ncbigene:7157	ncbigene:151	-1
ncbigene:7157	ncbigene:119749	-1
ncbigene:7157	ncbigene:6364	1
ncbigene:7157	ncbigene:123	1
ncbigene:7157	ncbigene:716	1
ncbigene:7157	ncbigene:151246	1
ncbigene:7157	ncbigene:2491	1
ncbigene:7157	ncbigene:4205	1
ncbigene:7157	ncbigene:5879	1
ncbigene:7157	ncbigene:6633	1
ncbigene:7157	ncbigene:93611	1
ncbigene:7157	ncbigene:9183	1
ncbigene:7157	ncbigene:8454	1
ncbigene:7157	ncbigene:6396	1
ncbigene:7157	ncbigene:409	1
ncbigene:7157	ncbigene:23030	1
ncbigene:7157	ncbigene:219986	1
ncbigene:7157	ncbigene:93	1
ncbigene:7157	ncbigene:2200	1
ncbigene:7157	ncbigene:2641	1
ncbigene:7157	ncbigene:7478	1
ncbigene:7157	ncbigene:3009	1
ncbigene:7157	ncbigene:2957	1
ncbigene:7157	ncbigene:79050	1
ncbigene:7157	ncbigene:5557	1
ncbigene:7157	ncbigene:3445	1
ncbigene:7157	ncbigene:391194	1
ncbigene:7157	ncbigene:2792	1
ncbigene:7157	ncbigene:2736	1
ncbigene:7157	ncbigene:11056	1
ncbigene:7157	ncbigene:5443	1
ncbigene:7157	ncbigene:50838	1
ncbigene:7157	ncbigene:1453	-1
ncbigene:7157	ncbigene:4023	1
ncbigene:7157	ncbigene:2962	1
ncbigene:7157	ncbigene:8826	-1
ncbigene:7157	ncbigene:22916	1
ncbigene:7157	ncbigene:26270	1
ncbigene:7157	ncbigene:338675	1
ncbigene:7157	ncbigene:23122	1
ncbigene:7157	ncbigene:11103	1
ncbigene:7157	ncbigene:140735	1
ncbigene:7157	ncbigene:7186	1
ncbigene:7157	ncbigene:2771	1
ncbigene:7157	ncbigene:1843	1
ncbigene:7157	ncbigene:3383	1
ncbigene:7157	ncbigene:324	1
ncbigene:7157	ncbigene:387	1
ncbigene:7157	ncbigene:390144	1
ncbigene:7157	ncbigene:81797	1
ncbigene:7157	ncbigene:10726	1
ncbigene:7157	ncbigene:107	1
ncbigene:7157	ncbigene:183	1
ncbigene:7157	ncbigene:84916	-1
ncbigene:7157	ncbigene:2885	-1
ncbigene:7157	ncbigene:3358	-1
ncbigene:7157	ncbigene:3984	-1
ncbigene:7157	ncbigene:2157	-1
ncbigene:7157	ncbigene:5515	-1
ncbigene:7157	ncbigene:55746	1
ncbigene:136	ncbigene:3952	1
ncbigene:136	ncbigene:375	1
ncbigene:1128	ncbigene:7531	1
ncbigene:3586	ncbigene:152831	1
ncbigene:3586	ncbigene:28952	1
ncbigene:3586	ncbigene:6232	1
ncbigene:3586	ncbigene:6288	1
ncbigene:3586	ncbigene:5519	1
ncbigene:3586	ncbigene:127062	1
ncbigene:3586	ncbigene:1026	1
ncbigene:3586	ncbigene:55756	1
ncbigene:3586	ncbigene:84085	1
ncbigene:3586	ncbigene:121364	1
ncbigene:3586	ncbigene:387	-1
ncbigene:3586	ncbigene:836	-1
ncbigene:3586	ncbigene:6233	-1
ncbigene:3586	ncbigene:57405	-1
ncbigene:3586	ncbigene:8988	-1
ncbigene:3586	ncbigene:51143	-1
ncbigene:3586	ncbigene:346517	-1
ncbigene:3586	ncbigene:699	-1
ncbigene:3586	ncbigene:10018	-1
ncbigene:3586	ncbigene:6464	-1
ncbigene:3586	ncbigene:6142	-1
ncbigene:3586	ncbigene:2852	-1
ncbigene:3586	ncbigene:991	-1
ncbigene:3586	ncbigene:9184	-1
ncbigene:3586	ncbigene:2932	-1
ncbigene:3586	ncbigene:2767	-1
ncbigene:3586	ncbigene:7019	-1
ncbigene:3586	ncbigene:6363	-1
ncbigene:3586	ncbigene:672	-1
ncbigene:3586	ncbigene:23279	-1
ncbigene:3586	ncbigene:4792	-1
ncbigene:3586	ncbigene:51602	-1
ncbigene:3586	ncbigene:55208	-1
ncbigene:3586	ncbigene:2172	-1
ncbigene:3586	ncbigene:1062	-1
ncbigene:3586	ncbigene:85236	-1
ncbigene:3586	ncbigene:219484	-1
ncbigene:3586	ncbigene:5093	-1
ncbigene:3586	ncbigene:11130	-1
ncbigene:3586	ncbigene:5528	-1
ncbigene:3586	ncbigene:128371	-1
ncbigene:3586	ncbigene:149371	1
ncbigene:1111	ncbigene:6774	1
ncbigene:1111	ncbigene:10528	1
ncbigene:1111	ncbigene:22984	1
ncbigene:1111	ncbigene:23112	-1
ncbigene:1111	ncbigene:3304	-1
ncbigene:1111	ncbigene:6249	-1
ncbigene:2931	ncbigene:25936	-1
ncbigene:2931	ncbigene:146330	-1
ncbigene:2931	ncbigene:81470	1
ncbigene:2932	ncbigene:5979	1
ncbigene:2932	ncbigene:23710	1
ncbigene:2932	ncbigene:216	1
ncbigene:2932	ncbigene:51138	-1
ncbigene:2932	ncbigene:147841	-1
ncbigene:2932	ncbigene:338	-1
ncbigene:2932	ncbigene:64344	1
ncbigene:2932	ncbigene:128366	1
ncbigene:2932	ncbigene:10813	1
ncbigene:2932	ncbigene:401541	1
ncbigene:2932	ncbigene:10945	-1
ncbigene:2932	ncbigene:1677	-1
ncbigene:2932	ncbigene:2254	1
ncbigene:2932	ncbigene:4023	1
ncbigene:2932	ncbigene:79980	1
ncbigene:2932	ncbigene:5442	1
ncbigene:2932	ncbigene:142	1
ncbigene:2932	ncbigene:127623	1
ncbigene:2932	ncbigene:79172	1
ncbigene:2932	ncbigene:55746	-1
ncbigene:2932	ncbigene:390152	-1
ncbigene:2932	ncbigene:6863	-1
ncbigene:2932	ncbigene:10540	-1
ncbigene:2932	ncbigene:55208	-1
ncbigene:2932	ncbigene:896	-1
ncbigene:2932	ncbigene:5426	-1
ncbigene:2932	ncbigene:6773	-1
ncbigene:2932	ncbigene:259295	-1
ncbigene:2932	ncbigene:4851	1
ncbigene:2932	ncbigene:916	1
ncbigene:2932	ncbigene:2847	1
ncbigene:2932	ncbigene:6432	1
ncbigene:2932	ncbigene:4683	1
ncbigene:2932	ncbigene:1147	1
ncbigene:2932	ncbigene:6233	1
ncbigene:2932	ncbigene:83540	-1
ncbigene:2932	ncbigene:51362	1
ncbigene:2932	ncbigene:10250	1
ncbigene:2932	ncbigene:1956	1
ncbigene:2932	ncbigene:1783	1
ncbigene:2932	ncbigene:5447	1
ncbigene:2932	ncbigene:2885	1
ncbigene:2932	ncbigene:2168	1
ncbigene:2932	ncbigene:29099	1
ncbigene:2932	ncbigene:390038	1
ncbigene:2932	ncbigene:50624	-1
ncbigene:2932	ncbigene:5347	1
ncbigene:1983	ncbigene:5585	1
ncbigene:1983	ncbigene:1852	1
ncbigene:1983	ncbigene:55272	1
ncbigene:1983	ncbigene:2778	1
ncbigene:1983	ncbigene:1314	1
ncbigene:1983	ncbigene:9688	1
ncbigene:1983	ncbigene:348995	1
ncbigene:1983	ncbigene:729	1
ncbigene:1983	ncbigene:26230	1
ncbigene:1983	ncbigene:1063	1
ncbigene:1983	ncbigene:83540	1
ncbigene:1983	ncbigene:9295	1
ncbigene:1983	ncbigene:7132	1
ncbigene:1983	ncbigene:3452	1
ncbigene:1983	ncbigene:25930	1
ncbigene:1983	ncbigene:84128	1
ncbigene:1983	ncbigene:7124	1
ncbigene:1983	ncbigene:79023	1
ncbigene:1983	ncbigene:51143	1
ncbigene:1983	ncbigene:7182	1
ncbigene:1983	ncbigene:81608	1
ncbigene:1983	ncbigene:355	1
ncbigene:1983	ncbigene:57082	1
ncbigene:1983	ncbigene:8823	1
ncbigene:1983	ncbigene:4086	1
ncbigene:1983	ncbigene:9735	1
ncbigene:1983	ncbigene:57551	1
ncbigene:1983	ncbigene:4254	1
ncbigene:1983	ncbigene:26234	1
ncbigene:1983	ncbigene:4638	1
ncbigene:1983	ncbigene:5347	1
ncbigene:1983	ncbigene:1781	1
ncbigene:1983	ncbigene:121364	1
ncbigene:1983	ncbigene:2324	1
ncbigene:1983	ncbigene:2002	1
ncbigene:1983	ncbigene:9883	1
ncbigene:1983	ncbigene:6233	1
ncbigene:1983	ncbigene:121275	1
ncbigene:1983	ncbigene:4041	1
ncbigene:1983	ncbigene:50836	1
ncbigene:1983	ncbigene:1429	1
ncbigene:1983	ncbigene:10436	1
ncbigene:1983	ncbigene:65109	1
ncbigene:1983	ncbigene:5527	1
ncbigene:1983	ncbigene:3458	1
ncbigene:1983	ncbigene:4085	1
ncbigene:1983	ncbigene:79172	1
ncbigene:1983	ncbigene:6232	1
ncbigene:1983	ncbigene:55839	1
ncbigene:1983	ncbigene:5520	1
ncbigene:1983	ncbigene:80152	1
ncbigene:1983	ncbigene:9978	1
ncbigene:1983	ncbigene:6439	1
ncbigene:1983	ncbigene:51213	1
ncbigene:1983	ncbigene:6657	1
ncbigene:1983	ncbigene:390054	1
ncbigene:1983	ncbigene:51202	1
ncbigene:23141	ncbigene:120793	1
ncbigene:388531	ncbigene:84524	1
ncbigene:388531	ncbigene:390649	1
ncbigene:388531	ncbigene:6935	1
ncbigene:388531	ncbigene:5879	1
ncbigene:57148	ncbigene:11097	1
ncbigene:57186	ncbigene:26737	-1
ncbigene:595	ncbigene:65109	1
ncbigene:595	ncbigene:5870	-1
ncbigene:595	ncbigene:26538	-1
ncbigene:595	ncbigene:2626	1
ncbigene:595	ncbigene:57050	-1
ncbigene:595	ncbigene:29945	-1
ncbigene:595	ncbigene:2056	-1
ncbigene:595	ncbigene:23493	-1
ncbigene:595	ncbigene:138804	-1
ncbigene:595	ncbigene:2160	1
ncbigene:2645	ncbigene:1026	1
ncbigene:2645	ncbigene:8349	1
ncbigene:2645	ncbigene:1958	1
ncbigene:2645	ncbigene:81282	1
ncbigene:983	ncbigene:149951	1
ncbigene:983	ncbigene:150684	1
ncbigene:983	ncbigene:367	1
ncbigene:983	ncbigene:4144	1
ncbigene:983	ncbigene:390264	1
ncbigene:983	ncbigene:7157	1
ncbigene:983	ncbigene:4306	1
ncbigene:983	ncbigene:5903	1
ncbigene:983	ncbigene:1950	1
ncbigene:983	ncbigene:9254	1
ncbigene:983	ncbigene:1361	1
ncbigene:983	ncbigene:2168	1
ncbigene:983	ncbigene:130075	1
ncbigene:983	ncbigene:55110	1
ncbigene:983	ncbigene:7175	1
ncbigene:983	ncbigene:127074	1
ncbigene:983	ncbigene:390151	1
ncbigene:983	ncbigene:781	1
ncbigene:983	ncbigene:9212	1
ncbigene:2056	ncbigene:6502	1
ncbigene:2056	ncbigene:6232	1
ncbigene:2056	ncbigene:57082	1
ncbigene:2056	ncbigene:26234	1
ncbigene:2056	ncbigene:390442	1
ncbigene:2056	ncbigene:328	1
ncbigene:2056	ncbigene:11130	1
ncbigene:2056	ncbigene:9934	1
ncbigene:2056	ncbigene:79959	1
ncbigene:5467	ncbigene:1535	1
ncbigene:5467	ncbigene:79902	1
ncbigene:5467	ncbigene:356	1
ncbigene:5467	ncbigene:55746	1
ncbigene:5467	ncbigene:5452	1
ncbigene:5467	ncbigene:1729	1
ncbigene:3815	ncbigene:1401	1
ncbigene:3815	ncbigene:5528	1
ncbigene:3815	ncbigene:472	1
ncbigene:1436	ncbigene:9636	1
ncbigene:3932	ncbigene:10762	1
ncbigene:3932	ncbigene:5431	1
ncbigene:3932	ncbigene:3123	-1
ncbigene:3932	ncbigene:336	-1
ncbigene:3932	ncbigene:55920	1
ncbigene:3932	ncbigene:8945	-1
ncbigene:3932	ncbigene:11130	-1
ncbigene:3932	ncbigene:56656	-1
ncbigene:3932	ncbigene:192669	-1
ncbigene:3932	ncbigene:129401	-1
ncbigene:3932	ncbigene:3315	-1
ncbigene:3932	ncbigene:25929	1
ncbigene:4067	ncbigene:3015	1
ncbigene:4067	ncbigene:7072	1
ncbigene:4067	ncbigene:25793	1
ncbigene:4067	ncbigene:6249	1
ncbigene:4067	ncbigene:3569	1
ncbigene:4067	ncbigene:6227	1
ncbigene:4067	ncbigene:2274	1
ncbigene:4067	ncbigene:51692	1
ncbigene:4067	ncbigene:5747	-1
ncbigene:4067	ncbigene:84557	-1
ncbigene:4067	ncbigene:5087	1
ncbigene:5156	ncbigene:23649	1
ncbigene:5156	ncbigene:2831	1
ncbigene:5156	ncbigene:8349	1
ncbigene:5156	ncbigene:2064	1
ncbigene:5156	ncbigene:25929	1
ncbigene:5156	ncbigene:5054	1
ncbigene:5156	ncbigene:28991	1
ncbigene:5156	ncbigene:23421	1
ncbigene:5156	ncbigene:1780	1
ncbigene:2149	ncbigene:8379	1
ncbigene:2149	ncbigene:151246	1
ncbigene:2149	ncbigene:6193	1
ncbigene:2149	ncbigene:79980	1
ncbigene:2149	ncbigene:9277	1
ncbigene:2149	ncbigene:5518	1
ncbigene:2149	ncbigene:6772	1
ncbigene:2149	ncbigene:9183	1
ncbigene:2149	ncbigene:375	1
ncbigene:2149	ncbigene:8487	1
ncbigene:2149	ncbigene:4233	1
ncbigene:4089	ncbigene:335	1
ncbigene:4089	ncbigene:4893	1
ncbigene:4089	ncbigene:25929	1
ncbigene:4089	ncbigene:1111	1
ncbigene:4089	ncbigene:192669	1
ncbigene:4089	ncbigene:126433	1
ncbigene:4089	ncbigene:220134	1
ncbigene:4089	ncbigene:390181	1
ncbigene:4089	ncbigene:5347	1
ncbigene:4089	ncbigene:5727	1
ncbigene:4089	ncbigene:5515	1
ncbigene:4089	ncbigene:2932	1
ncbigene:4089	ncbigene:3674	-1
ncbigene:4089	ncbigene:80776	-1
ncbigene:4089	ncbigene:9790	1
ncbigene:4089	ncbigene:89832	1
ncbigene:4089	ncbigene:79760	1
ncbigene:4089	ncbigene:7533	1
ncbigene:4089	ncbigene:57122	-1
ncbigene:4089	ncbigene:23332	1
ncbigene:4012	ncbigene:2770	1
ncbigene:4012	ncbigene:2491	1
ncbigene:4012	ncbigene:5594	1
ncbigene:4012	ncbigene:81858	1
ncbigene:3320	ncbigene:7514	1
ncbigene:3320	ncbigene:3576	1
ncbigene:3320	ncbigene:6396	1
ncbigene:3320	ncbigene:5822	1
ncbigene:3320	ncbigene:8348	1
ncbigene:3320	ncbigene:1628	1
ncbigene:3320	ncbigene:7132	1
ncbigene:3320	ncbigene:5526	1
ncbigene:3320	ncbigene:79833	1
ncbigene:3320	ncbigene:346525	1
ncbigene:3320	ncbigene:22984	1
ncbigene:3320	ncbigene:1385	1
ncbigene:3320	ncbigene:3596	1
ncbigene:3320	ncbigene:55839	-1
