curie	name	source
pubchem.compound:2375	Bicalutamide	creed
pubchem.compound:4171	Metoprolol	creed
pubchem.compound:446541	Mycophenolic acid	creed
pubchem.compound:3385	5-Fluorouracil	creed | lc1000
pubchem.compound:4158	Methylphenidate	creed
pubchem.compound:5360373	Bleomycin a2	creed
pubchem.compound:444795	Tretinoin	creed | lc1000
pubchem.compound:10635	Androstanolone	creed
pubchem.compound:3658	Hydroxyzine	creed
pubchem.compound:4075	Mesalamine	creed
pubchem.compound:5282379	Isotretinoin	creed | lc1000
pubchem.compound:137	Aminolevulinic acid	creed | lc1000
pubchem.compound:4091	Metformin	creed | lc1000
pubchem.compound:2265	Azathioprine	creed | lc1000
pubchem.compound:2733526	Tamoxifen	creed | lc1000
pubchem.compound:31703	Doxorubicin	creed
pubchem.compound:5743	Dexamethasone	creed | lc1000
pubchem.compound:62959	Trovafloxacin	creed
pubchem.compound:126941	Methotrexate	creed
pubchem.compound:5280343	Quercetin	creed
pubchem.compound:444008	Tibolone	creed | lc1000
pubchem.compound:149096	Levofloxacin	creed | lc1000
pubchem.compound:5284616	Sirolimus	creed | lc1000
pubchem.compound:6253	Cytarabine	creed | lc1000
pubchem.compound:2764	Ciprofloxacin	creed
pubchem.compound:6013	Testosterone	creed
pubchem.compound:2708	Chlorambucil	creed | lc1000
pubchem.compound:5282181	Alfacalcidol	creed
pubchem.compound:145068	Nitric oxide	creed
pubchem.compound:3033	Diclofenac	creed
pubchem.compound:996	Phenol	creed
pubchem.compound:72474	Grepafloxacin	creed
pubchem.compound:2771	Citalopram	creed
pubchem.compound:37542	Ribavirin	creed
pubchem.compound:702	Ethanol	creed
pubchem.compound:5280453	Calcitriol	creed
pubchem.compound:9444	Azacitidine	creed | lc1000
pubchem.compound:36314	Paclitaxel	creed
pubchem.compound:4943	Propofol	creed
pubchem.compound:3961	Losartan	lc1000
pubchem.compound:44093	Captopril	lc1000
pubchem.compound:441314	Miglitol	lc1000
pubchem.compound:4107	Methocarbamol	lc1000
pubchem.compound:3059	Diflunisal	lc1000
pubchem.compound:4649	4-Aminosalicylic acid	lc1000
pubchem.compound:65863	Sertaconazole	lc1000
pubchem.compound:5745	Cortisone acetate	lc1000
pubchem.compound:6230	Norethindrone	lc1000
pubchem.compound:2797	Clofibric acid	lc1000
pubchem.compound:4775	4-Phenylbutyric acid	lc1000
pubchem.compound:4485	Nifedipine	lc1000
pubchem.compound:4201	Minoxidil	lc1000
pubchem.compound:2794	Clofazimine	lc1000
pubchem.compound:708857	Pyrantel	lc1000
pubchem.compound:3038	Dichlorphenamide	lc1000
pubchem.compound:5917	Pentetrazol	lc1000
pubchem.compound:68844	Brinzolamide	lc1000
pubchem.compound:3559	Haloperidol	lc1000
pubchem.compound:11683	Megestrol acetate	lc1000
pubchem.compound:3019	Diazoxide	lc1000
pubchem.compound:9904	Nandrolone	lc1000
pubchem.compound:5311217	Lacidipine	lc1000
pubchem.compound:3278	Ethacrynic acid	lc1000
pubchem.compound:3168	Droperidol	lc1000
pubchem.compound:20279	Cladribine	lc1000
pubchem.compound:10631	Medroxyprogesterone	lc1000
pubchem.compound:5095	Ropinirole	lc1000
pubchem.compound:2732	Chlorthalidone	lc1000
pubchem.compound:4497	Nimodipine	lc1000
pubchem.compound:55245	Mifepristone	lc1000
pubchem.compound:16362	Pimozide	lc1000
